ID,STA,Nama Usaha,Kota,Kecamatan,Alamat,Klasifikasi,Owner,Ttl_Room,Latitude,Longitude
1,08.01.01.00245,ibis Styles Bandung Grand Central,Kota Bandung,Sumur Bandung,Jl. Gatot Subroto No.289,Bintang 3,Noer Indradjaja,240,-6.914744,107.609810
2,08.01.01.00063,PATRA BANDUNG,Kota Bandung,Coblong,Jl. Ir. H. Juanda No.132,Bintang 3,Putut Ariwibowo,85,-6.893502,107.611808
3,08.01.01.00537,HOTEL SANTIKA BANDUNG,Kota Bandung,Cicendo,Jl. Sumatera No.52-54,Bintang 3,Johanes Widjaja,76,-6.903400,107.619123
4,08.01.01.00546,FOX HARRIS LITE HOTEL METRO INDAH BANDUNG,Kota Bandung,Buahbatu,Jl. Soekarno Hatta No.590,Bintang 3,Raynald Christopher,93,-6.961455,107.687404
5,08.01.01.00015,YELLO HOTEL PASKAL,Kota Bandung,Andir,Jl. Pasir Kaliki No.25,Bintang 3,Lawrence Wibisono,150,-6.915062,107.594179
6,08.01.01.54737,GEARY HOTEL,Kota Bandung,Sumur Bandung,Jl. Kebon Jati No.205,Bintang 3,GREGORY HANSON ANG,62,-6.909928,107.609940
7,08.01.01.54761,HOTEL SANTIKA PASIR KOJA BANDUNG,Kota Bandung,Bojongloa Kaler,Jl. Peta No.241,Bintang 3,Tjong Sian Wie,90,-6.934477,107.592570
8,08.01.01.54786,JATILUHUR VALLEY AND RESORT HOTEL,Kota Bandung,Sukasari,Jl. Dago Pakar Permai I,Bintang 3,JASA TIRTA II DADAN HIDAYAT,75,-6.944748,107.658652
9,08.01.01.55154,AHADIAT HOTEL & BUNGALOW,Kota Bandung,Sukajadi,Jl. Sindang Sirna Elok No.9,Bintang 3,A. Sapah Arsakaraton,59,-6.889300,107.589622
10,08.01.01.55543,MAISON TERASKITA BANDUNG,Kota Bandung,Lengkong,Jl. Asia Afrika No.122,Bintang 3,PT Waskita Karya Realty,84,-6.895840,107.620597
11,08.01.01.00528,DE BRAGA BY ARTOTEL,Kota Bandung,Sumur Bandung,Jl. Braga No.10,Bintang 4,Nariman Prasetyo,112,-6.918598,107.609102
12,08.01.01.00056,eL HOTEL BANDUNG,Kota Bandung,Cicendo,Jl. Sukajadi No.345,Bintang 4,Iwan Setiawan Sumantri,516,-6.920936,107.621670
13,08.01.01.00500,FOUR POINTS BY SHERATON BANDUNG,Kota Bandung,Cibeunying Kaler,Jl. Ir. H. Juanda No.46,Bintang 4,Jemmy Kartiwa,162,-6.902532,107.618738
14,08.01.01.00205,GRAND PASUNDAN CONVENTION HOTEL,Kota Bandung,Regol,Jl. Peta No.147,Bintang 4,Wimpy Setiawan Ibrahim,163,-6.933319,107.596873
15,08.01.01.00514,GRAND TJOKRO PREMIERE HOTEL,Kota Bandung,Sukajadi,Jl. Cihampelas No.211-217,Bintang 4,LUCIA PURWANTI,364,-6.884922,107.608318
16,08.01.01.00003,NOVOTEL BANDUNG,Kota Bandung,Cicendo,Jl. Cihampelas No.23-25,Bintang 4,MARIA HANA YAPAR,165,-6.899671,107.609136
17,08.01.01.00548,DE JAVA HOTEL BANDUNG,Kota Bandung,Sukajadi,Jl. Sukajadi No.148-150,Bintang 4,Juan Sanjaya,122,-6.889871,107.592918
18,08.01.01.00542,HARRIS CIUMBULEUIT BANDUNG,Kota Bandung,Cidadap,Jl. Ciumbuleuit No.50-58,Bintang 4,HADI SETIADARMA HO,210,-6.880336,107.604601
19,08.01.01.00543,SARI ATER KAMBOTI HOTEL,Kota Bandung,Sukajadi,Jl. Dr. Setiabudi No.270,Bintang 4,PT PAN PERSERO,184,-6.882345,107.605736
20,08.01.01.00033,THE JAYAKARTA SUITES BANDUNG,Kota Bandung,Cidadap,Jl. Ir. H. Juanda No.381,Bintang 4,KRISTIAN PUDJIADI,210,-6.862717,107.609095
21,08.01.01.00422,CINNAMON HOTEL BOUTIQUE SYARIAH,Kota Bandung,Cibeunying Kaler,Jl. Dr. Cipto No.35,Bintang 4,IMAN RAHMAN,50,-6.902065,107.613940
22,08.01.01.00515,THE AMAROOSSA HOTEL BANDUNG,Kota Bandung,Lengkong,Jl. Aceh No.71A,Bintang 4,DRA. AMALIA ROOSSENO,92,-6.902790,107.623400
