ID,Kd_Kec,Nm_Kec,Jumlah Hotel
1,3273010,Bandung Kulon,0
2,3273020,Babakan Ciparay,3
3,3273030,Bojongloa Kaler,5
4,3273040,Bojongloa Kidul,12
5,3273050,Astanaanyar,6
6,3273060,Regol,26
7,3273070,Lengkong,67
8,3273080,Bandung Kidul,5
9,3273090,Margacinta,9
10,3273100,Rancasari,4
11,3273110,Cibiru,5
12,3273120,Ujungberung,1
13,3273130,Arcamanik,0
14,3273140,Cicadas,1
15,3273150,Kiaracondong,4
16,3273160,Batununggal,11
17,3273170,Sumurbandung,33
18,3273180,Andir,22
19,3273190,Cicendo,47
20,3273200,Bandung Wetan,48
21,3273210,Cibeunying Kidul,2
22,3273220,Cibeunying Kaler,17
23,3273230,Coblong,68
24,3273240,Sukajadi,77
25,3273250,Sukasari,40
26,3273260,Cidadap,52
